股票代码,股票名称,新闻标题,新闻内容,发布时间
001393,N维通利,资金风向标 | 阳光电源、多氟多获大额资金净流入,Choice数据显示，5月15日，资金净流入额排名前十的个股依次是阳光电源、多氟多、N维通利、三花智控、长电科技、巨轮智能、五洲新春、兆易创新、天孚通信、领益智造。其中，阳光电源、多氟多获资金净流入均超20亿元。,2026-05-15 15:14:00
001393,N维通利,活跃个股：中际旭创成交293亿元 N锐翔换手率79%,N维通利紧随其后，全天换手率75.45%。,2026-05-15 15:32:05
001393,N维通利,主力资金监控：海光信息净卖出超28亿,个股方面，多氟多资金净买入21.39亿元位居首位，阳光电源、N维通利、三花智控主力资金净流入居前；海光信息遭净卖出28.65亿元位居首位，东山精密、澜起科技、紫金矿业主力资金净流出额居前。,2026-05-15 14:23:44
001393,N维通利,主力资金监控：东山精密净卖出超16亿,个股方面，多氟多涨停，主力资金净买入超19.97亿元位居首位，N维通利、领益智造、巨轮智能获主力资金净流入居前；东山精密遭净卖出超16亿元，海光信息、胜宏科技、光迅科技资金净流出额居前。,2026-05-15 11:00:42
001393,N维通利,“光”又站起来了？本周CPO龙头获主力大举加仓,此外，新股N维通利、C春光集以及上海电气、巨轮智能、鹏鼎控股、长电科技等主力净流入金额居前。 　　值得注意的是，本周主力净流出前十名则集中于PCB及通信板块。,2026-05-16 10:00:00
688549,中巨芯-U,【盘中播报】中巨芯-U盘中涨停,资金面上，中巨芯-U上一交易日主力资金净流入1.66亿元，近5日净流入7465.82万元。,2026-05-15 10:01:00
688549,中巨芯-U,中巨芯-U涨停 营业部龙虎榜净卖出225.54万元,5月15日中巨芯-U（688549）收盘价16.79元，收盘涨停，全天换手率12.13%，振幅3.01%，成交额11.96亿元。科创板交易公开信息显示，当日该股因日收盘价涨幅达15%等上榜。,2026-05-15 23:46:00
688549,中巨芯-U,沪股通现身15只个股龙虎榜,净卖出的有大唐发电、长盈通、中巨芯-U等，净卖出金额分别为12930.09万元、3996.70万元、2198.56万元。,2026-05-15 23:46:00
688549,中巨芯-U,A股定增一览：8家公司披露定增进展,从当日最新披露定增预案来看，东方锆业、中巨芯-U、久盛电气分别拟定增不超11.7亿元、8.0亿元、4.27亿元。今年以来，已有72家公司公告定增方案已完成，23家公司定增金额超10亿元。,2026-05-16 09:32:21
688549,中巨芯-U,氟化工概念股表现强势 多股涨停,上证报中国证券网讯 5月15日早盘，氟化工概念股表现强势，截至9时31分，中巨芯-U20cm涨停，滨化股份、多氟多、中欣氟材涨停，巨化股份、三美股份等跟涨。,2026-05-15 09:37:36
688549,中巨芯-U,16只科创板个股主力资金净流入超亿元,证券时报·数据宝统计显示，今日科创板个股上涨的有230只，涨停的有中巨芯-U、纽威数控等2只，下跌的有371只，，跌停的有*ST清越等1只。,2026-05-15 17:05:00
688549,中巨芯-U,今日涨跌停股分析：72只涨停股、44只跌停股，电机板块活跃，科力尔、方正电机涨停,连板股方面，*ST准油9连板，大唐发电8天7板，蒙娜丽莎6连板，利仁科技、*ST宝馨5连板，威龙股份6天4板，*ST亚士4连板，和远气体5天3板，京能电力3连板，北自科技、ST信通等2连板，三瑞智能、中巨芯-U等涨停。,2026-05-15 15:10:49
688549,中巨芯-U,毛利率走低下中巨芯仍“砸钱”扩产：拟定增募资8亿元加码主业，扣非已连亏5年,二级市场上，中巨芯-U5月15日开盘迅速涨停，截至收盘报16.79元/股，再创新高。,2026-05-16 17:42:00
688549,中巨芯-U,板块异动 | A股电子化学品板块涨幅居前,个股中，中巨芯-U20cm涨停，唯特偶涨超10%，江化微涨停，华特气体、上海新阳、格林达、广钢气体、兴福电子等多股跟涨。 　　中银证券认为，受益于下游行业快速发展，先进技术不断迭代以及国产替代大背景下，电子材料领域有望持续迎来发展良机。,2026-05-15 11:41:07
688549,中巨芯-U,半导体设备ETF易方达(159558)标的指数盘中拉升涨超6%，长鑫存储二季度开启扩产招标,5月15日早盘，半导体材料与设备下探后快速拉升，截至10:58，中证半导体材料设备主题指数上涨6.3%、创下历史新高，指数成份股中，中巨芯-U、江化微涨停，富创精密、中微公司、拓荆科技等涨超10%。,2026-05-15 11:11:31
688697,纽威数控,纽威数控股价创历史新高,人民财讯5月15日电，5月15日，纽威数控(688697)收盘涨停，报24.18元/股，创下历史新高，最新A股市值突破100亿元。,2026-05-15 15:28:00
688697,纽威数控,纽威数控涨停 营业部龙虎榜净买入7831.30万元,5月15日纽威数控（688697）收盘价24.18元，收盘涨停，全天换手率7.29%，振幅20.06%，成交额7.63亿元。科创板交易公开信息显示，当日该股因日收盘价涨幅达15%等上榜。,2026-05-15 23:46:00
688697,纽威数控,纽威数控(688697)龙虎榜数据(05-15),交易所2026年5月15日公布的交易公开信息显示，纽威数控因成为有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券上榜。纽威数控当日收报24.18元，涨跌幅20.00%，偏离值20.00%，换手率7.29%，成交额7.63亿。,2026-05-15 16:55:24
688697,纽威数控,【调研快报】纽威数控接待公司2025年暨2026年第一季度业绩说明会线上的投资者等42家机构调研,"纽威数控5月13日公告称，5月11日至5月13日接待公司2025年暨2026年第一季度业绩说明会线上的投资者等42家机构调研。接待人员包括董事长 郭国新,财务总监、董事会秘书 洪利清,独立董事 马亚红,朱兰萍,证券事务代表 常华江。",2026-05-13 17:30:56
688697,纽威数控,纽威数控盘中创历史新高,纽威数控股价创出历史新高，截至10:10，该股上涨11.70%，股价报21.00元，成交量1110.69万股，成交金额2.20亿元，换手率2.43%，该股最新A股总市值达96.04亿元，该股A股流通市值96.04亿元。,2026-05-07 10:48:00
688697,纽威数控,纽威数控：2026年一季度净利润6665.08万元 同比增长8.62%,中证智能财讯纽威数控（688697）4月28日披露2026年第一季度报告。,2026-05-01 22:53:45
688697,纽威数控,纽威数控(688697.SH)：2026年一季报净利润为6665.08万元,2026年4月28日，纽威数控(688697.SH)发布2026年一季报。 　　公司营业总收入为7.12亿元。归母净利润为6665.08万元。经营活动现金净流入为-4931.08万元，在已披露的同业公司中排名第121，较去年同报告期经营活动现金净流入减少933.22万元。,2026-04-28 09:07:20
688697,纽威数控,纽威数控：关于续聘会计师事务所的公告,证券日报网讯 4月16日，纽威数控发布公告称，公司于 2026 年 4 月 16 日召开第三届董事会第五次会议，审议并通过了《关于续聘会计师事务所的议案》。董事会同意续聘天衡会计师事务所（特殊普通合伙）为公司 2026 年度的财务审计机构和内部控制审计机构。,2026-04-16 18:28:00
688697,纽威数控,纽威数控2025年营收增长17.52% 拟10派4.5元转增4股,2025年，纽威数控在产能建设方面迈出了关键一步。四期现代化智能工厂全面投产，聚焦高端数控装备的智能化、柔性化生产，预计年新增产值7亿元，将显著提升公司全球订单交付能力与市场响应速度。,2026-04-17 09:47:45
688697,纽威数控,纽威数控：拟签署420.00万元日常关联交易合同,南财智讯4月16日电，纽威数控发布日常关联交易公告，公司及子公司预计2026年度与苏州纽威阀门股份有限公司、纽威集团有限公司发生日常关联交易，关联交易类别包括接受关联人住宿及会务接待、向关联人租赁等，全年预计总金额为420.00万元。,2026-04-16 16:31:08
300263,隆华科技,隆华科技龙虎榜数据（5月15日）,隆华科技今日涨停，全天换手率24.05%，成交额31.40亿元，振幅10.81%。龙虎榜数据显示，机构净买入4104.68万元，深股通净买入2922.52万元，营业部席位合计净买入5192.22万元。,2026-05-15 17:06:00
300263,隆华科技,隆华科技(300263)龙虎榜数据(05-15),交易所2026年5月15日公布的交易公开信息显示，隆华科技因成为日涨幅达到15%的前5只证券上榜。隆华科技当日收报13.74元，涨跌幅20.00%，偏离值20.00%，换手率24.05%，成交额31.40亿。,2026-05-15 16:28:57
300263,隆华科技,"【调研快报】隆华科技接待隆华科技2025年度业绩说明会采用网络远程方式进行,面向全体投资者调研","隆华科技5月14日公告称，5月14日接待隆华科技2025年度业绩说明会采用网络远程方式进行,面向全体投资者调研。接待人员包括董事、总经理 刘玉峰,副总经理、财务总监、董事会秘书 张源远,独立董事 董治国。",2026-05-14 20:09:24
300263,隆华科技,隆华科技：靶材产品成功导入三星供应链并批量供货,5月14日，隆华科技在业绩说明会上表示，在AMOLED高端显示靶材领域，公司突破G8.6AMOLED所需大尺寸银合金管靶制备瓶颈，拥有完全自主知识产权，是京东方、TCL华星、维信诺、韩国LGD、三星等全球主流面板企业核心供应商。,2026-05-14 18:14:09
300263,隆华科技,隆华科技：今年成功进入三星供应链并批量供货,5月14日，隆华科技召开2025年度在线业绩说明会，公司副总经理、财务总监、董事会秘书张源远表示，在AMOLED高端显示靶材领域，公司突破G8.6 AMOLED所需大尺寸银合金管靶制备瓶颈，拥有自主专利，且银合金平面靶、旋转靶均具备完全自主知识产权。,2026-05-14 21:38:50
300263,隆华科技,隆华科技：公司暂无收购河南铭镓半导体计划,证券日报网讯 5月13日，隆华科技在互动平台回答投资者提问时表示，公司暂无收购河南铭镓半导体计划。,2026-05-13 19:06:00
300263,隆华科技,隆华科技：公司2026年成功导入三星供应链并批量供货,隆华科技（300263.SZ）5月13日在投资者互动平台表示，在 AMOLED 高端显示靶材领域，公司突破 G8.6 AMOLED 所需大尺寸银合金管靶制备瓶颈，拥有自主专利，且银合金平面靶、旋转靶均具备完全自主知识产权；同时是京东方、TCL 华星、维信诺、韩国 LGD、三星等全球主流面板企业核心供应商,2026-05-13 20:51:48
300263,隆华科技,隆华科技：三诺新材年产6万吨高性能萃取剂新产能已实现投产,证券日报网讯 5月13日，隆华科技在互动平台回答投资者提问时表示，三诺新材年产6万吨高性能萃取剂新产能已实现投产，目前处于产能爬坡阶段，主要受设备调试、下游需求节奏匹配及项目分期推进等因素影响，暂未达到满产状态；针对萃取剂核心原料价格上涨，公司已对相关产品实施同步调价，并通过细分领域差异化溢价,2026-05-13 18:14:00
300263,隆华科技,隆华科技：公司PMI/EPMI业务目前处于“原材料泡沫板材与成品结构件协同供应”的阶段,5月13日，隆华科技在互动平台回答投资者提问时表示，公司 PMI/EPMI 业务目前处于 “原材料泡沫板材与成品结构件协同供应” 的阶段，其中结构件已实现批量供货。,2026-05-13 18:15:00
300263,隆华科技,隆华科技：在AMOLED高端显示靶材领域，公司突破G8.6 AMOLED所需大尺寸银合金管靶制备瓶颈,证券日报网讯 5月13日，隆华科技在互动平台回答投资者提问时表示，在 AMOLED 高端显示靶材领域，公司突破 G8.6 AMOLED 所需大尺寸银合金管靶制备瓶颈，拥有自主专利，且银合金平面靶、旋转靶均具备完全自主知识产权；同时是京东方、TCL 华星、维信诺、韩国 LGD、三星等全球主流面板企业核心供应商,2026-05-13 19:08:00
301696,三瑞智能,三瑞智能5月15日龙虎榜数据,三瑞智能今日涨停，全天换手率37.51%，成交额14.48亿元，振幅21.92%。龙虎榜数据显示，机构净卖出4275.84万元，营业部席位合计净买入1.90亿元。,2026-05-15 17:06:00
301696,三瑞智能,三瑞智能(301696)龙虎榜数据(05-15),交易所2026年5月15日公布的交易公开信息显示，三瑞智能因成为日涨幅达到15%的前5只证券、日换手率达到30%的前5只证券上榜。三瑞智能当日收报139.48元，涨跌幅20.00%，偏离值20.00%，换手率37.51%，成交额14.48亿。,2026-05-15 16:28:45
301696,三瑞智能,三瑞智能(301696)龙虎榜数据(05-12),交易所2026年5月12日公布的交易公开信息显示，三瑞智能因成为日换手率达到30%的前5只证券上榜。三瑞智能当日收报127.7元，涨跌幅3.75%，偏离值39.63%，换手率39.63%，成交额15.17亿。,2026-05-12 16:27:39
301696,三瑞智能,三瑞智能换手率39.63%，机构龙虎榜上激烈博弈,三瑞智能今日上涨3.75%，全天换手率39.63%，成交额15.17亿元，振幅8.85%。龙虎榜数据显示，机构净卖出8125.97万元，营业部席位合计净买入1109.13万元。,2026-05-12 16:55:00
301696,三瑞智能,三瑞智能龙虎榜数据（5月11日）,三瑞智能今日下跌4.01%，全天换手率41.17%，成交额15.42亿元，振幅10.07%。龙虎榜数据显示，机构净买入495.78万元，营业部席位合计净买入1335.06万元。,2026-05-11 17:03:00
301696,三瑞智能,三瑞智能(301696)龙虎榜数据(05-11),交易所2026年5月11日公布的交易公开信息显示，三瑞智能因成为日换手率达到30%的前5只证券上榜。三瑞智能当日收报123.08元，涨跌幅-4.01%，偏离值41.17%，换手率41.17%，成交额15.42亿。,2026-05-11 16:29:18
301696,三瑞智能,三瑞智能：股票交易异常波动公告,证券日报网讯 5月8日，三瑞智能发布公告称，公司股票于2026年5月6日、5月7日、5月8日连续三个交易日收盘价格涨幅偏离值累计超过30%，根据《深圳证券交易所交易规则》，属于股票异常波动的情形。,2026-05-08 19:39:00
301696,三瑞智能,三瑞智能(301696)龙虎榜数据(05-08),交易所2026年5月8日公布的交易公开信息显示，三瑞智能因成为日换手率达到30%的前5只证券、连续三个交易日内，涨幅偏离值累计达到30%的证券上榜。三瑞智能当日收报128.22元，涨跌幅13.12%，偏离值51.72%，换手率51.72%，成交额18.91亿。,2026-05-08 16:27:36
301696,三瑞智能,三瑞智能换手率51.72%，4机构现身龙虎榜,三瑞智能今日上涨13.12%，全天换手率51.72%，成交额18.91亿元，振幅20.68%。龙虎榜数据显示，机构净买入181.55万元，营业部席位合计净买入5455.91万元。,2026-05-08 16:53:00
301696,三瑞智能,三瑞智能5月7日龙虎榜数据,三瑞智能今日上涨16.78%，全天换手率41.10%，成交额12.90亿元，振幅19.32%。龙虎榜数据显示，机构净卖出735.63万元，营业部席位合计净买入7689.22万元。,2026-05-07 17:25:00
300878,维康药业,维康药业龙虎榜数据（5月15日）,维康药业今日涨停，全天换手率8.56%，成交额4.22亿元，振幅22.55%。龙虎榜数据显示，机构净卖出1821.63万元，营业部席位合计净买入1631.19万元。 　　深交所公开信息显示，当日该股因日收盘价涨幅达20.00%上榜，机构专用席位净卖出1821.63万元。,2026-05-15 17:06:00
300878,维康药业,维康药业(300878)龙虎榜数据(05-15),交易所2026年5月15日公布的交易公开信息显示，维康药业因成为日涨幅达到15%的前5只证券上榜。维康药业当日收报36.2元，涨跌幅19.99%，偏离值20.00%，换手率8.56%，成交额4.22亿。 免责声明：本文基于AI生产，仅供参考，不构成任何投资建议，据此操作风险自担。,2026-05-15 16:28:55
300878,维康药业,【调研快报】维康药业接待投资者网上提问调研,"维康药业5月13日公告称，5月13日接待投资者网上提问调研。接待人员包括董事长、总经理 刘洋,财务总监 王静,董事会秘书 王思,独立董事 刘江峰。",2026-05-13 19:43:36
300878,维康药业,维康药业：刘忠良质押420.00万股用于个人资金需求,南财智讯5月11日电，维康药业公告，公司控股股东、实际控制人刘忠良先生近日将其所持公司股份420.00万股进行质押，占其所持股份比例4.76%，占公司总股本比例2.90%，质押用途为个人资金需求。,2026-05-11 16:57:00
300878,维康药业,维康药业控股股东刘忠良质押420万股 占总股本的2.90%,2026年一季度，维康药业实现收入6966万元，归母净利润174万元。,2026-05-11 17:01:00
300878,维康药业,维康药业：2026年一季度盈利174.32万元 同比扭亏,中证智能财讯维康药业（300878）4月29日披露2026年第一季度报告。,2026-05-01 13:15:54
300878,维康药业,维康药业：2025年亏损2.27亿元,中证智能财讯维康药业（300878）4月29日披露2025年年度报告。,2026-04-29 16:22:40
300878,维康药业,维康药业：2025年度拟不进行利润分配,证券日报网讯 4月29日，维康药业发布公告称，公司于2026年4月28日召开第四届董事会第十一次会议，审议通过了《关于公司2025年度利润分配预案的议案》，该议案尚需提交公司2025年度股东会审议。,2026-04-29 21:21:00
300878,维康药业,维康药业：公司2025年度实现营业收入为225272638.73元,证券日报网讯 4月29日，维康药业发布2025年年度报告称，公司2025年度实现营业收入225，272，638.73元，同比下降35.86%；归属于上市公司股东的净利润-227，341，721.82元。,2026-04-29 21:49:00
300878,维康药业,维康药业：2025年净亏损22734.17万元,南财智讯4月29日电，维康药业公告，公司2025年实现营业收入2.25亿元，同比下降35.86%；归属于上市公司股东的净利润为-22734.17万元，同比减少54.21%；归属于上市公司股东的扣除非经常性损益的净利润为-21456.79万元，同比增长10.20%；经营活动产生的现金流量净额为,2026-04-29 07:15:00
300721,怡达股份,怡达股份：股票交易异常波动公告,5月15日，怡达股份发布公告称，公司股票交易连续2个交易日（2026年5月14日、2026年5月15日）日内收盘价格涨幅偏离值累计超过30%，根据《深圳证券交易所交易规则》的有关规定，属于股票交易异常波动的情况。,2026-05-15 19:49:00
300721,怡达股份,怡达股份龙虎榜数据（5月15日）,怡达股份今日涨停，全天换手率21.79%，成交额8.74亿元，振幅9.47%。龙虎榜数据显示，机构净买入3447.30万元，营业部席位合计净买入5549.06万元。 　　深交所公开信息显示，当日该股因日收盘价涨幅达20.00%上榜，机构专用席位净买入3447.30万元。,2026-05-15 17:06:00
300721,怡达股份,怡达股份(300721)龙虎榜数据(05-15),交易所2026年5月15日公布的交易公开信息显示，怡达股份因成为日涨幅达到15%的前5只证券、连续三个交易日内，涨幅偏离值累计达到30%的证券上榜。怡达股份当日收报29.36元，涨跌幅19.98%，偏离值20.00%，换手率21.79%，成交额8.74亿。,2026-05-15 16:28:34
300721,怡达股份,怡达股份：公司产品下游应用范围广,证券日报网讯 5月14日，怡达股份在互动平台回答投资者提问时表示，公司产品下游应用范围广，主要应用于涂料、专用化学品、电子化学品、制动液、油墨、日用化学品、医药中间体、农药等行业。,2026-05-14 21:20:00
300721,怡达股份,怡达股份(300721)龙虎榜数据(05-14),交易所2026年5月14日公布的交易公开信息显示，怡达股份因成为日换手率达到30%的前5只证券上榜。怡达股份当日收报24.47元，涨跌幅14.88%，偏离值30.52%，换手率30.53%，成交额9.76亿。,2026-05-14 16:26:40
300721,怡达股份,怡达股份：连续2个交易日收盘价涨幅偏离值累超30%,南财智讯5月15日电，怡达股份发布股票交易异常波动公告，公司股票连续2个交易日（2026年5月14日、2026年5月15日）收盘价格涨幅偏离值累计超过30%，属于股票交易异常波动。经公司董事会核实，公司目前生产经营活动正常，市场环境及行业政策未发生重大调整。,2026-05-15 17:10:00
300721,怡达股份,怡达股份：公司目前各装置生产经营平稳有序,证券日报网讯 5月7日，怡达股份在互动平台回答投资者提问时表示，公司依据市场行情、在手订单情况等合理安排生产和销售，公司目前各装置生产经营平稳有序。,2026-05-07 19:19:00
300721,怡达股份,怡达股份：公司湿电子化学品的研发、生产和销售正常稳步推进,证券日报网讯 5月7日，怡达股份在互动平台回答投资者提问时表示，公司湿电子化学品的研发、生产和销售正常稳步推进。,2026-05-07 16:45:00
300721,怡达股份,怡达股份：2026年一季度盈利430.96万元 同比扭亏,中证智能财讯怡达股份（300721）4月28日披露2026年第一季度报告。,2026-04-29 16:11:33
300721,怡达股份,怡达股份：2025年亏损1.09亿元,中证智能财讯怡达股份（300721）4月28日披露2025年年度报告。,2026-04-27 18:50:39
301081,严牌股份,严牌股份：截至2026年5月8日股东人数为9222户,证券日报网讯 5月12日，严牌股份在互动平台回答投资者提问时表示，截至2026年5月8日，公司股东人数为9222户。,2026-05-12 17:42:00
301081,严牌股份,严牌股份最新股东户数环比下降15.74% 筹码趋向集中,严牌股份5月7日披露，截至4月30日公司股东户数为8729户，较上期（4月20日）减少1630户，环比降幅为15.74%。 　　证券时报·数据宝统计，截至发稿，严牌股份收盘价为16.45元，下跌1.97%，本期筹码集中以来股价累计下跌1.02%。,2026-05-07 16:16:00
301081,严牌股份,严牌股份：截至4月30日公司股东人数为8729户,证券日报网讯 5月7日，严牌股份在互动平台回答投资者提问时表示，截至2026年4月30日公司股东人数为8729户。,2026-05-07 16:45:00
301081,严牌股份,严牌股份：2026年一季度净利润295.65万元 同比下降75.82%,中证智能财讯严牌股份（301081）4月28日披露2026年第一季度报告。,2026-05-01 19:44:00
301081,严牌股份,机构风向标 | 严牌股份(301081)2026年一季度已披露前十大机构持股比例合计下跌3.64个百分点,2026年4月28日，严牌股份(301081.SZ)发布2026年第一季报。截至2026年4月30日，共有5个机构投资者披露持有严牌股份A股股份，合计持股量达1.20亿股，占严牌股份总股本的52.60%。,2026-05-01 09:30:22
301081,严牌股份,严牌股份：一季度净利润295.65万元，同比减少75.82%,南财智讯4月27日电，严牌股份公告，公司2026年第一季度实现营业收入2.57亿元，同比增长28.91%；归属于上市公司股东的净利润295.65万元，同比减少75.82%；经营活动产生的现金流量净额为-2119.01万元，上年同期为401.19万元。,2026-04-27 18:55:00
301081,严牌股份,严牌股份：2025年净利润同比下降58.84% 拟10派0.5元,中证智能财讯严牌股份（301081）4月28日披露2025年年度报告。,2026-04-28 09:46:44
301081,严牌股份,严牌股份：2025年净利润1735.97万元，同比减少58.84%,南财智讯4月27日电，严牌股份公告，公司2025年实现营业收入8.97亿元，同比增长14.28%；归属于上市公司股东的净利润1735.97万元，同比减少58.84%；归属于上市公司股东的扣除非经常性损益的净利润1369.99万元，同比减少66.93%；经营活动产生的现金流量净额4038.23,2026-04-27 19:00:00
301081,严牌股份,严牌股份(301081.SZ)2025年净利润为1735.97万元、较去年同期下降58.84%,2026年4月28日，严牌股份(301081.SZ)发布2025年年报。 　　公司营业总收入为8.97亿元，在已披露的同业公司中排名第15。,2026-04-28 14:31:38
301081,严牌股份,营收增长拽不住利润跌速！严牌股份业绩遭“连环暴击”：新产能变“拖油瓶”，减值计提雪上加霜,4月27日晚间，浙江严牌过滤技术股份有限公司（以下简称“严牌股份”或“公司”）发布2025年年度报告及2026年第一季度报告。财报显示，公司增收不增利问题持续加剧。2025年公司营收实现稳步增长，但归母净利润、扣非净利润大幅下滑。,2026-04-28 09:45:32
300276,三丰智能,三丰智能龙虎榜数据（5月15日）,三丰智能今日涨停，全天换手率11.13%，成交额9.44亿元，振幅19.60%。龙虎榜数据显示，机构净卖出600.74万元，深股通净买入1799.70万元，营业部席位合计净买入3.61亿元。,2026-05-15 17:06:00
300276,三丰智能,三丰智能(300276)龙虎榜数据(05-15),交易所2026年5月15日公布的交易公开信息显示，三丰智能因成为日涨幅达到15%的前5只证券上榜。三丰智能当日收报8.42元，涨跌幅19.94%，偏离值20.00%，换手率11.13%，成交额9.44亿。,2026-05-15 16:28:44
300276,三丰智能,机器人概念涨势扩大 三丰智能等多股涨停,机器人概念盘中涨势扩大，三丰智能、巨轮智能涨停，此前北自科技、大业股份、科力尔、雷赛智能涨停，纽威数控、凯龙高科、索辰科技均涨超10%。消息面上，特斯拉宣布Optimus V3将于年中亮相，7至8月启动投产，首座工厂设计年产能达100万台，产业链订单已开始派送。,2026-05-15 10:40:22
300276,三丰智能,机器人概念逆势狂飙，三丰智能直线拉20cm涨停,个股方面，三丰智能（300276.SZ）盘中突然直线拉20cm涨停，报8.42元/股；绿的谐波（688017.SH）、华中数控（300161.SZ）等多股涨超10%领涨，雷赛智能（002979.SZ）、信捷电气（603416.SH）、科力尔（002892.SZ）、巨轮智能（002031,2026-05-15 13:46:00
300276,三丰智能,逆市狂飙！特斯拉百万产能引爆机器人概念，三丰智能20cm涨停,板块方面，机器人概念逆势狂飙，三丰智能20cm涨停，绿的谐波、禾川科技、华中数控等多股涨超10%，雷赛智能、信捷电气、科力尔、巨轮智能等多只概念股10cm涨停。,2026-05-15 16:10:00
300276,三丰智能,三丰智能上涨20%！机器人、氟化工概念股双双走强,盘面上，机器人概念逆市走强，三丰智能20cm涨停，雷赛智能等涨停；氟化工概念全天强势，中巨芯20cm涨停，滨化股份、多氟多、中欣氟材涨停。,2026-05-15 16:02:21
300276,三丰智能,"【调研快报】三丰智能接待三丰智能2025年度业绩说明会采用网络远程方式进行,面向全体投资者调研","三丰智能5月12日公告称，5月12日接待三丰智能2025年度业绩说明会采用网络远程方式进行,面向全体投资者调研。接待人员包括董事长、总经理 朱汉平,副总经理、董事会秘书 柯国庆,财务总监 叶胜,独立董事 黄勇。",2026-05-12 20:28:43
